"ndcnum","prodnme","gennme"
"00054017613","buprenorphine","Buprenorphine Hydrochloride"
"00054017713","buprenorphine","Buprenorphine Hydrochloride"
"00054018813","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00054018913","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00056001122","revia","Naltrexone Hydrochloride"
"00056001130","revia","Naltrexone Hydrochloride"
"00056001170","revia","Naltrexone Hydrochloride"
"00056007950","revia","Naltrexone Hydrochloride"
"00074201201","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"00093323921","buprenorphine","Buprenorphine"
"00093323940","buprenorphine","Buprenorphine"
"00093360021","buprenorphine","Buprenorphine"
"00093360040","buprenorphine","Buprenorphine"
"00093360121","buprenorphine","Buprenorphine"
"00093360140","buprenorphine","Buprenorphine"
"00093360221","buprenorphine","Buprenorphine"
"00093360240","buprenorphine","Buprenorphine"
"00093360321","buprenorphine","Buprenorphine"
"00093360340","buprenorphine","Buprenorphine"
"00093365621","buprenorphine","Buprenorphine"
"00093365640","buprenorphine","Buprenorphine"
"00093365721","buprenorphine","Buprenorphine"
"00093365740","buprenorphine","Buprenorphine"
"00093365821","buprenorphine","Buprenorphine"
"00093365840","buprenorphine","Buprenorphine"
"00093365921","buprenorphine","Buprenorphine"
"00093365940","buprenorphine","Buprenorphine"
"00093537856","buprenorphine","Buprenorphine Hydrochloride"
"00093537956","buprenorphine","Buprenorphine Hydrochloride"
"00093572056","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00093572156","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00143924601","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"00143924605","buprenorphine hydrochloride","Buprenorphine Hydrochloride"
"00185003901","naltrexone hcl","Naltrexone Hydrochloride"
"00185003930","naltrexone hcl","Naltrexone Hydrochloride"
"00228315303","buprenorphine","Buprenorphine Hydrochloride"
"00228315403","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00228315473","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00228315503","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00228315567","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00228315573","buprenorphine-naloxone","Buprenorphine/Naloxone"
"00228315603","buprenorphine","Buprenorphine Hydrochloride"
