"reactdt","roads","mstfmds","mastfrm","thrdtds","thrgrds","pkqtycd","thercls","excdgds","roacd","orgbkfg","metsize","deaclds","therdtl","pksize","manfnme","maintin","thergrp","excldrg","deactdt","prodcat","orgbkcd","ndcnum","prodnme","orgbkds","generid","thrclds","strngth","gnindds","prdctds","deaclas","gennme","maintds","actind","siglsrc","genind","desidrg","gennme2","methadone"
NA,"Injection","Solution","SOL","Methadone","Central Nervous System","EA",60,"","IJ","N","000001.0000 MLX00100","Schedule II",2808080040,100,"LILLY, ELI & COMPANY",2,8,0,1994-04-12,1,"EE","00002168702","DOLOPHINE HCL","No Rating Available",102394,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
NA,"Injection","Solution","SOL","Methadone","Central Nervous System","EA",60,"","IJ","N","000001.0000 MLX00012","Schedule II",2808080040,12,"LILLY, ELI & COMPANY",2,8,0,1994-04-12,1,"EE","00002168712","DOLOPHINE HCL","No Rating Available",102394,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","001000.0000 ML","Schedule II",2808080040,1,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054039168","METHADONE HCL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","001000.0000 ML","Schedule II",2808080040,1,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054039268","METHADONE HCL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054070920","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054070925","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054071020","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054071025","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Injection","Solution","SOL","Methadone","Central Nervous System","EA",60,"","IJ","N","000020.0000 MLX00025","Schedule II",2808080040,25,"ROXANE LABORATORIES, INC.",2,8,0,2000-01-05,1,"NR","00054121811","DOLOPHINE HCL","Not Rated",102394,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
NA,"Injection","Solution","SOL","Methadone","Central Nervous System","EA",60,"","IJ","N","000020.0000 ML","Schedule II",2808080040,1,"ROXANE LABORATORIES, INC.",2,8,0,2003-06-01,1,"NR","00054121842","DOLOPHINE HCL","Not Rated",102394,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
